key,value
Ryzen 5 PRO 4650GE with Radeon Graphics,2040
Radeon RX Vega 11 Ryzen 5 3350G,2036
Ryzen 7 4700U with Radeon Graphics,2034
Radeon Ryzen 7 PRO 4750U,2032
Ryzen 7 PRO 4750U with Radeon Graphics,2029
FirePro V7800,2028
Ryzen 5 PRO 5650U with Radeon Graphics,2027
Radeon R9 350,2025
GeForce GTX 460 SE,2011
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon Pro W5500M,2010
Ryzen 5 5500U with Radeon Graphics,2010
Intel Iris Xe MAX,2009
Ryzen 5 PRO 4500U with Radeon Graphics,2007
GeForce GT 645,2005
Radeon Ryzen 7 PRO 5875U,2000
Radeon R9 M385X,1993
GeForce GTX 765M,1989
Intel Iris Pro 580,1987
Radeon R7 + R7 350 Dual,1982
Radeon Ryzen 5 5560U,1981
Radeon Ryzen Embedded V2718,1981
Radeon HD 5850,1978
Radeon HD 6850,1972
Ryzen 3 5300G with Radeon Graphics,1963
Radeon R7 + HD 7700 Dual,1962
Radeon HD 7660D + HD 7700 Dual,1958
GeForce GTX 470M,1953
Radeon R7 450,1949
GeForce GTX 675M,1943
GeForce GTX 460 v2,1927
Intel Iris Xe MAX 100,1924
Radeon RX 570X,1923
Radeon HD 7560D + 7700 Dual,1919
Quadro 5000,1918
Quadro K4000M,1917
GeForce GTX 560 SE,1914
Radeon Vega 11 Ryzen 5 PRO 3400G,1913
GeForce GTX 670MX,1906
Matrox C680 PCIe x16,1903
Radeon HD 7700-serie,1899
Radeon RX 540,1896
Radeon HD 8670D + HD 7700 Dual,1892
Radeon Pro WX 4130,1877
Qualcomm Adreno 8cx Gen 3,1875
GeForce GTX 570M,1874
Ryzen 5 4600U with Radeon Graphics,1873
GeForce GTX 645,1869
FirePro 3D V7800,1867
GeForce MX130,1867
Ryzen 3 4300G with Radeon Graphics,1867
Quadro M520,1861
Radeon RX 640,1861
Radeon R9 M385,1853
GeForce 945A,1852
Radeon Ryzen 5 PRO 5675U,1849
Radeon Ryzen Embedded V2748,1842
FirePro M5100 FireGL V,1839
GRID M60-0B,1838
Videocard Name,"Passmark G3D Mark
(higher is better)"
GeForce MX230,1835
Radeon HD 8570D + HD 7700 Dual,1834
Radeon R9 M375X,1828
Intel Iris Plus,1827
MxGPU,1826
Radeon Vega 11,1821
FirePro M6000,1820
Matrox C900 PCIe x16,1812
Intel UHD Graphics 770,1807
Radeon R9 M360,1804
Ryzen 5 4500U with Radeon Graphics,1804
Radeon HD 8870M / R9 M270X / M370X,1799
Radeon RX Vega 11 Processor,1799
Embedded Radeon E9173,1798
Radeon Pro WX 2100,1795
Ryzen 3 PRO 4350GE with Radeon Graphics,1793
Radeon Ryzen 5 4600GE with Radeon Graphics,1792
Radeon HD 8670D + 7700 Dual,1788
Quadro 5010M,1771
Radeon Vega 8 Ryzen 5 3550H,1770
Intel Iris Plus 655,1756
GeForce GTX 650,1753
FirePro M6000 Mobility Pro,1750
Intel UHD Graphics 750,1749
Firepro W5170M,1748
Ryzen 3 PRO 4200GE with Radeon Graphics,1748
GeForce GTX 670M,1746
